Case Number,Day of the Week,Time of the Day,Nature of the Call
B16-12080,Thursday,NIGHT,NOISE
B16-12079,Thursday,NIGHT,TRAFFIC STOP
B16-12078,Thursday,NIGHT,VEH THEFT NP
B16-12077,Thursday,NIGHT,TRAFFIC STOP
B16-12076,Thursday,NIGHT,WEAPONS IP
B16-12075,Thursday,NIGHT,TRAFFIC STOP
B16-12074,Thursday,NIGHT,TRAFFIC STOP
B16-12073,Thursday,NIGHT,TRAFFIC STOP
B16-12072,Thursday,NIGHT,TRAFFIC STOP
B16-12070,Thursday,NIGHT,TRAFFIC STOP
B16-12069,Thursday,NIGHT,TRAFFIC STOP
B16-12068,Thursday,NIGHT,TRAFFIC STOP
B16-12067,Thursday,NIGHT,SUSP ACT IP
B16-12066,Thursday,NIGHT,TRAFFIC STOP
B16-12071,Thursday,NIGHT,NOISE
B16-12064,Thursday,NIGHT,TRAFFIC STOP
B16-12065,Thursday,NIGHT,NOISE
B16-12062,Thursday,NIGHT,TRAFFIC STOP
B16-12061,Thursday,NIGHT,TRAFFIC STOP
B16-12059,Thursday,NIGHT,TRAFFIC STOP
B16-12058,Thursday,NIGHT,HARASSMENT NP
B16-12060,Thursday,NIGHT,NOISE
B16-12056,Thursday,NIGHT,TRAFFIC STOP
B16-12057,Thursday,NIGHT,WELFARE CHK IP
B16-12054,Thursday,NIGHT,TRAFFIC STOP
B16-12055,Thursday,NIGHT,ALARM
B16-12053,Thursday,NIGHT,ASSIGNED DETAIL
B16-12063,Thursday,NIGHT,VANDALISM NP
B16-12052,Thursday,NIGHT,WELFARE CHK IP
B16-12051,Thursday,NIGHT,FOLLOW UP
B16-12050,Thursday,NIGHT,CIVIL NP
B16-12049,Thursday,NIGHT,ANIMAL
B16-12048,Thursday,NIGHT,THEFT NP
B16-12046,Thursday,NIGHT,WARRANT SERVICE
B16-12047,Thursday,NIGHT,DOMESTIC NP
B16-12044,Thursday,NIGHT,FODOR
B16-12045,Thursday,NIGHT,FIREWORKS
B16-12043,Thursday,NIGHT,HARASSMENT NP
B16-12042,Thursday,NIGHT,ALARM
B16-12041,Thursday,NIGHT,SUSP ACT IP
B16-12040,Thursday,NIGHT,ROV IP
B16-12039,Thursday,DAY,TRAFFIC STOP
B16-12038,Thursday,DAY,PANHANDLING
B16-12036,Thursday,DAY,HARASSMENT IP
B16-12037,Thursday,DAY,DRUGS IP
B16-12034,Thursday,DAY,DISTURBANCE IP
B16-12032,Thursday,DAY,DISTURBANCE IP
B16-12035,Thursday,DAY,WEATHER ALERT
B16-12033,Thursday,DAY,ACCIDENT LSA NP
B16-12026,Thursday,DAY,FOLLOW UP
B16-12027,Thursday,DAY,ACCIDENT PD IP
B16-12030,Thursday,DAY,SERVICE IP
B16-12025,Thursday,DAY,WEAPONS IP
B16-12024,Thursday,DAY,ACCIDENT PI
B16-12023,Thursday,DAY,WELFARE CHK IP
B16-12031,Thursday,DAY,TRAFFIC HAZARD
B16-12029,Thursday,DAY,THEFT NP
B16-12022,Thursday,DAY,CIVIL NP
B16-12021,Thursday,DAY,VANDALISM NP
B16-12028,Thursday,DAY,HARASSMENT NP
B16-12020,Thursday,DAY,WARRANT SERVICE
B16-12019,Thursday,DAY,TRAFFIC STOP
B16-12018,Thursday,DAY,ACCIDENT PD IP
B16-12017,Thursday,DAY,ROV NP
B16-12016,Thursday,DAY,FOLLOW UP
B16-12015,Thursday,DAY,DISTURBANCE IP
B16-12014,Thursday,DAY,ASSIGNED DETAIL
B16-12011,Thursday,DAY,ACCIDENT PI
B16-12013,Thursday,DAY,PROPERTY
B16-12012,Thursday,DAY,TRAFFIC HAZARD
B16-12010,Thursday,DAY,PARKING
B16-12009,Thursday,DAY,THEFT NP
B16-12007,Thursday,DAY,ROV NP
B16-12008,Thursday,DAY,SUSP ACT NP
B16-12005,Thursday,DAY,FOLLOW UP
B16-12006,Thursday,DAY,TOW IN
B16-12003,Thursday,DAY,ACCIDENT PD IP
B16-12004,Thursday,DAY,ACCIDENT PD IP
B16-12000,Thursday,DAY,FOLLOW UP
B16-12001,Thursday,DAY,ACCIDENT LSA IP
B16-11998,Thursday,DAY,WELFARE CHK IP
B16-11997,Thursday,DAY,ACCIDENT LSA NP
B16-11996,Thursday,DAY,CIVIL NP
B16-11995,Thursday,DAY,PROPERTY
B16-12002,Thursday,DAY,BURGLARY NP
B16-11993,Thursday,DAY,DISTURBANCE IP
B16-11992,Thursday,DAY,ACCIDENT PD IP
B16-11999,Thursday,DAY,WARRANT SERVICE
B16-11991,Thursday,DAY,SERIAL MOTOR CH
B16-11990,Thursday,DAY,FOLLOW UP
B16-11989,Thursday,MORNING,FOLLOW UP
B16-11987,Thursday,MORNING,ACCIDENT PD IP
B16-11986,Thursday,MORNING,THEFT IP
B16-11994,Thursday,MORNING,PANHANDLING
B16-11988,Thursday,MORNING,HARASSMENT NP
B16-11983,Thursday,MORNING,DISTURBANCE IP
B16-11984,Thursday,MORNING,WELFARE CHK IP
B16-11985,Thursday,MORNING,VEH THEFT NP
B16-11982,Thursday,MORNING,SERIAL MOTOR CH
B16-11981,Thursday,MORNING,SERVICE IP
B16-11980,Thursday,MORNING,TRAFFIC STOP
B16-11979,Thursday,MORNING,THEFT NP
B16-11978,Thursday,MORNING,ACCIDENT PD IP
B16-11977,Thursday,MORNING,THEFT NP
B16-11976,Thursday,MORNING,TRESPASS NP
B16-11975,Thursday,MORNING,THEFT NP
B16-11973,Thursday,MORNING,TRAFFIC STOP
B16-11974,Thursday,MORNING,ALARM
B16-11972,Thursday,MORNING,FRAUD
B16-11971,Thursday,MORNING,SUSP ACT NP
B16-11970,Thursday,MORNING,SERVICE IP
B16-11969,Thursday,MORNING,VANDALISM NP
B16-11968,Thursday,MORNING,ACCIDENT PD IP
B16-11967,Thursday,MORNING,TRAFFIC STOP
B16-11966,Thursday,MORNING,DISTURBANCE IP
B16-11965,Thursday,MORNING,ALARM
B16-11964,Thursday,MORNING,ASSIGNED DETAIL
B16-11963,Thursday,NIGHT,ASSIGNED DETAIL
B16-11962,Thursday,NIGHT,ALARM
B16-11961,Thursday,NIGHT,WELFARE CHK IP
B16-11960,Thursday,NIGHT,ATL
B16-11958,Thursday,NIGHT,DOMESTIC IP
B16-11959,Thursday,NIGHT,NOISE
B16-11957,Thursday,NIGHT,WELFARE CHK IP
B16-11956,Thursday,NIGHT,ASSAULT IP
B16-11955,Thursday,NIGHT,ATL
B16-11954,Thursday,NIGHT,SERVICE IP
B16-11953,Thursday,NIGHT,SUSP ACT IP
B16-11952,Thursday,NIGHT,WELFARE CHK IP
B16-11951,Thursday,NIGHT,SERVICE IP
B16-11950,Thursday,NIGHT,FOLLOW UP
B16-11949,Thursday,NIGHT,MENTAL HEALTH
B16-11948,Thursday,NIGHT,SUSP ACT IP
B16-11947,Thursday,NIGHT,WELFARE CHK IP
B16-11946,Thursday,NIGHT,WELFARE CHK IP
B16-11945,Thursday,NIGHT,SUSP ACT IP
B16-11944,Wednesday,NIGHT,SERVICE IP
B16-11943,Wednesday,NIGHT,ACCIDENT PD IP
B16-11942,Wednesday,NIGHT,TRAFFIC STOP
B16-11941,Wednesday,NIGHT,THEFT NP
B16-11939,Wednesday,NIGHT,NOISE
B16-11938,Wednesday,NIGHT,TRAFFIC STOP
B16-11936,Wednesday,NIGHT,TRAFFIC STOP
B16-11937,Wednesday,NIGHT,DOMESTIC IP
B16-11940,Wednesday,NIGHT,DOMESTIC IP
B16-11935,Wednesday,NIGHT,TRAFFIC STOP
B16-11934,Wednesday,NIGHT,TRAFFIC STOP
B16-11933,Wednesday,NIGHT,SUSP ACT IP
B16-11932,Wednesday,NIGHT,TRAFFIC STOP
B16-11931,Wednesday,NIGHT,TRAFFIC STOP
B16-11928,Wednesday,NIGHT,TRAFFIC STOP
B16-11929,Wednesday,NIGHT,ACCIDENT UNK
B16-11927,Wednesday,NIGHT,EXTRA PATROL
B16-11930,Wednesday,NIGHT,NOISE
B16-11926,Wednesday,NIGHT,THEFT NP
B16-11925,Wednesday,NIGHT,TRAFFIC STOP
B16-11922,Wednesday,NIGHT,EXTRA PATROL
B16-11921,Wednesday,NIGHT,WELFARE CHK IP
B16-11919,Wednesday,NIGHT,SEX OFFENSE NP
B16-11918,Wednesday,NIGHT,SUSP ACT IP
B16-11924,Wednesday,NIGHT,SUSP ACT NP
B16-11923,Wednesday,NIGHT,OTHER
B16-11914,Wednesday,NIGHT,ALARM
B16-11913,Wednesday,NIGHT,DOMESTIC IP
B16-11912,Wednesday,DAY,SUSP ACT IP
B16-11911,Wednesday,DAY,WELFARE CHK IP
B16-11915,Wednesday,DAY,WARRANT SERVICE
B16-11917,Wednesday,DAY,HARASSMENT NP
B16-11909,Wednesday,DAY,ACCIDENT PD IP
B16-11908,Wednesday,DAY,ALARM
B16-11907,Wednesday,DAY,DOMESTIC IP
B16-11906,Wednesday,DAY,TRAFFIC STOP
B16-11905,Wednesday,DAY,TRAFFIC STOP
B16-11920,Wednesday,DAY,THEFT NP
B16-11910,Wednesday,DAY,THEFT NP
B16-11904,Wednesday,DAY,TRAFFIC HAZARD
B16-11916,Wednesday,DAY,NOISE
B16-11903,Wednesday,DAY,ATL
B16-11902,Wednesday,DAY,WELFARE CHK IP
B16-11900,Wednesday,DAY,SUSP ACT IP
B16-11901,Wednesday,DAY,ANIMAL
B16-11899,Wednesday,DAY,ACCIDENT PD IP
B16-11898,Wednesday,DAY,DISTURBANCE IP
B16-11897,Wednesday,DAY,THEFT NP
B16-11896,Wednesday,DAY,THEFT NP
B16-11895,Wednesday,DAY,NOISE
B16-11892,Wednesday,DAY,MOTORIST ASSIST
B16-11893,Wednesday,DAY,ATL
B16-11894,Wednesday,DAY,ATL
B16-11890,Wednesday,DAY,MISSING PERSON
B16-11891,Wednesday,DAY,THEFT NP
B16-11889,Wednesday,DAY,DOMESTIC IP
B16-11888,Wednesday,DAY,DRUNK
B16-11887,Wednesday,DAY,WARRANT SERVICE
B16-11886,Wednesday,DAY,THEFT NP
B16-11885,Wednesday,DAY,TRESPASS IP
B16-11884,Wednesday,DAY,DISTURBANCE IP
B16-11883,Wednesday,DAY,FOLLOW UP
B16-11882,Wednesday,DAY,DOMESTIC IP
B16-11881,Wednesday,DAY,ALARM
B16-11879,Wednesday,DAY,ACCIDENT PD IP
B16-11878,Wednesday,DAY,VANDALISM NP
B16-11880,Wednesday,DAY,WARRANT SERVICE
B16-11876,Wednesday,DAY,TRAFFIC STOP
B16-11877,Wednesday,DAY,DISTURBANCE IP
B16-11875,Wednesday,DAY,DEATH
B16-11874,Wednesday,DAY,SERIAL MOTOR CH
B16-11873,Wednesday,DAY,CIVIL IP
B16-11870,Wednesday,DAY,SUSP ACT IP
B16-11872,Wednesday,DAY,FRAUD
B16-11869,Wednesday,DAY,ASSIGNED DETAIL
B16-11867,Wednesday,DAY,ATL
B16-11865,Wednesday,DAY,TRESPASS IP
B16-11866,Wednesday,DAY,ACCIDENT LSA NP
B16-11864,Wednesday,DAY,THEFT NP
B16-11871,Wednesday,DAY,SUSP ACT NP
B16-11863,Wednesday,DAY,DISTURBANCE IP
B16-11868,Wednesday,DAY,PROPERTY
B16-11861,Wednesday,DAY,DISTURBANCE IP
B16-11862,Wednesday,DAY,VANDALISM NP
B16-11860,Wednesday,DAY,DOMESTIC IP
B16-11858,Wednesday,DAY,ALARM
B16-11857,Wednesday,MORNING,ACCIDENT LSA NP
B16-11856,Wednesday,MORNING,ACCIDENT LSA IP
B16-11855,Wednesday,MORNING,MOTORIST ASSIST
B16-11853,Wednesday,MORNING,TRAFFIC HAZARD
B16-11854,Wednesday,MORNING,FOLLOW UP
B16-11852,Wednesday,MORNING,ACCIDENT PI
B16-11850,Wednesday,MORNING,VANDALISM NP
B16-11851,Wednesday,MORNING,DOMESTIC IP
B16-11859,Wednesday,MORNING,ABANDONED VEH
B16-11849,Wednesday,MORNING,DOMESTIC IP
B16-11848,Wednesday,MORNING,THEFT NP
B16-11847,Wednesday,MORNING,ACCIDENT PI
B16-11846,Wednesday,MORNING,ACCIDENT PD IP
B16-11845,Wednesday,MORNING,SUSP ACT NP
B16-11844,Wednesday,MORNING,WELFARE CHK IP
B16-11843,Wednesday,MORNING,SUSP ACT IP
B16-11842,Wednesday,MORNING,TRAFFIC STOP
B16-11841,Wednesday,MORNING,MOTORIST ASSIST
B16-11840,Wednesday,MORNING,TRAFFIC STOP
B16-11839,Wednesday,MORNING,EXTRA PATROL
B16-11838,Wednesday,MORNING,WELFARE CHK IP
B16-11837,Wednesday,MORNING,DISTURBANCE IP
B16-11836,Wednesday,MORNING,ACCIDENT PD IP
B16-11835,Wednesday,MORNING,VANDALISM NP
B16-11833,Wednesday,NIGHT,ASSIGNED DETAIL
B16-11834,Wednesday,NIGHT,WELFARE CHK IP
B16-11832,Wednesday,NIGHT,TRESPASS IP
B16-11831,Wednesday,NIGHT,WELFARE CHK IP
B16-11830,Wednesday,NIGHT,DRUNK
B16-11829,Wednesday,NIGHT,SUSP ACT IP
B16-11828,Wednesday,NIGHT,SUSP ACT IP
B16-11827,Wednesday,NIGHT,SUSP ACT IP
B16-11826,Wednesday,NIGHT,TRAFFIC STOP
B16-11825,Wednesday,NIGHT,NOISE
B16-11824,Wednesday,NIGHT,TRAFFIC STOP
B16-11823,Wednesday,NIGHT,TRAFFIC STOP
B16-11822,Wednesday,NIGHT,DISTURBANCE IP
B16-11820,Wednesday,NIGHT,DISTURBANCE IP
B16-11819,Wednesday,NIGHT,FOLLOW UP
B16-11821,Tuesday,NIGHT,NOISE
B16-11818,Tuesday,NIGHT,SUSP ACT IP
B16-11817,Tuesday,NIGHT,NOISE
B16-11815,Tuesday,NIGHT,BURGLARY IP
B16-11816,Tuesday,NIGHT,SERVICE IP
B16-11814,Tuesday,NIGHT,ACCIDENT PD IP
B16-11813,Tuesday,NIGHT,ATL
B16-11812,Tuesday,NIGHT,TRAFFIC STOP
B16-11811,Tuesday,NIGHT,WELFARE CHK IP
B16-11810,Tuesday,NIGHT,THEFT NP
B16-11807,Tuesday,NIGHT,TRAFFIC STOP
B16-11809,Tuesday,NIGHT,VANDALISM NP
B16-11808,Tuesday,NIGHT,FOLLOW UP
B16-11806,Tuesday,NIGHT,PANHANDLING
B16-11805,Tuesday,NIGHT,HARASSMENT NP
B16-11804,Tuesday,NIGHT,ALARM
B16-11803,Tuesday,NIGHT,THEFT NP
B16-11802,Tuesday,NIGHT,ACCIDENT PD IP
B16-11801,Tuesday,NIGHT,STALKING IP
B16-11799,Tuesday,NIGHT,SUSP ACT IP
B16-11798,Tuesday,DAY,ROV NP
B16-11797,Tuesday,DAY,SERVICE IP
B16-11796,Tuesday,DAY,ALARM
B16-11795,Tuesday,DAY,ALARM
B16-11794,Tuesday,DAY,PROPERTY
B16-11793,Tuesday,DAY,DISTURBANCE IP
B16-11792,Tuesday,DAY,ALARM
B16-11791,Tuesday,DAY,WELFARE CHK IP
B16-11790,Tuesday,DAY,DUI
B16-11789,Tuesday,DAY,DRUNK
B16-11788,Tuesday,DAY,HARASSMENT IP
B16-11787,Tuesday,DAY,CIVIL NP
B16-11800,Tuesday,DAY,PROPERTY
B16-11786,Tuesday,DAY,ACCIDENT LSA IP
B16-11785,Tuesday,DAY,DISTURBANCE IP
B16-11784,Tuesday,DAY,VANDALISM IP
B16-11783,Tuesday,DAY,ACCIDENT PD IP
B16-11782,Tuesday,DAY,ACCIDENT PD IP
B16-11781,Tuesday,DAY,ACCIDENT PD IP
B16-11780,Tuesday,DAY,DRUNK
B16-11778,Tuesday,DAY,PROPERTY
B16-11779,Tuesday,DAY,ATL
B16-11776,Tuesday,DAY,WARRANT SERVICE
B16-11777,Tuesday,DAY,FOLLOW UP
B16-11775,Tuesday,DAY,TRAFFIC STOP
B16-11773,Tuesday,DAY,DISTURBANCE IP
B16-11774,Tuesday,DAY,DRUGS NP
B16-11770,Tuesday,DAY,MENTAL HEALTH
B16-11771,Tuesday,DAY,WELFARE CHK IP
B16-11769,Tuesday,DAY,ACCIDENT PD IP
B16-11772,Tuesday,DAY,PARKING
B16-11768,Tuesday,DAY,THEFT NP
B16-11767,Tuesday,DAY,ACCIDENT PD IP
B16-11766,Tuesday,DAY,TRAFFIC STOP
B16-11765,Tuesday,DAY,DRUNK
B16-11764,Tuesday,DAY,VEH THEFT NP
B16-11762,Tuesday,DAY,ALARM
B16-11763,Tuesday,DAY,VEH THEFT NP
B16-11761,Tuesday,DAY,DOMESTIC IP
B16-11760,Tuesday,DAY,FOLLOW UP
B16-11759,Tuesday,DAY,SUSP ACT IP
B16-11757,Tuesday,DAY,TRAFFIC STOP
B16-11756,Tuesday,DAY,ACCIDENT PD IP
B16-11755,Tuesday,DAY,TRESPASS IP
B16-11758,Tuesday,DAY,HARASSMENT NP
B16-11753,Tuesday,DAY,DISTURBANCE IP
B16-11752,Tuesday,DAY,SUSP ACT IP
B16-11754,Tuesday,DAY,SERVICE IP
B16-11751,Tuesday,DAY,SUSP ACT IP
B16-11750,Tuesday,DAY,ANIMAL
B16-11749,Tuesday,DAY,SERIAL MOTOR CH
B16-11748,Tuesday,DAY,JUVENILE
B16-11747,Tuesday,DAY,HARASSMENT NP
B16-11746,Tuesday,DAY,ALARM
B16-11745,Tuesday,DAY,EXTRA PATROL
B16-11743,Tuesday,DAY,EXTRA PATROL
B16-11744,Tuesday,DAY,ACCIDENT PD IP
B16-11742,Tuesday,MORNING,THEFT NP
B16-11741,Tuesday,MORNING,SERVICE IP
B16-11738,Tuesday,MORNING,TRAFFIC STOP
B16-11737,Tuesday,MORNING,FOLLOW UP
B16-11736,Tuesday,MORNING,ATL
B16-11735,Tuesday,MORNING,EXTRA PATROL
B16-11740,Tuesday,MORNING,THEFT NP
B16-11734,Tuesday,MORNING,ALARM
B16-11733,Tuesday,MORNING,JAIL TRANSPORT
B16-11732,Tuesday,MORNING,EXTRA PATROL
B16-11731,Tuesday,MORNING,PROWLER IP
B16-11729,Tuesday,MORNING,TRAFFIC STOP
B16-11739,Tuesday,MORNING,FRAUD
B16-11728,Tuesday,MORNING,TRAFFIC STOP
B16-11730,Tuesday,MORNING,PROPERTY
B16-11727,Tuesday,MORNING,SEX ASSAULT NP
B16-11726,Tuesday,MORNING,BURGLARY NP
B16-11724,Tuesday,MORNING,EXTRA PATROL
B16-11725,Tuesday,MORNING,PROPERTY
B16-11723,Tuesday,MORNING,THEFT NP
B16-11722,Tuesday,MORNING,WELFARE CHK IP
B16-11721,Tuesday,MORNING,ACCIDENT UNK
B16-11720,Tuesday,MORNING,TRAFFIC STOP
B16-11719,Tuesday,MORNING,SUSP ACT IP
B16-11717,Tuesday,MORNING,TRAFFIC STOP
B16-11718,Tuesday,MORNING,ACCIDENT LSA NP
B16-11716,Tuesday,MORNING,VANDALISM NP
B16-11715,Tuesday,MORNING,TRAFFIC STOP
B16-11714,Tuesday,MORNING,ALARM
B16-11713,Tuesday,MORNING,ALARM
B16-11712,Tuesday,MORNING,TRAFFIC STOP
B16-11711,Tuesday,NIGHT,TRAFFIC STOP
B16-11710,Tuesday,NIGHT,ASSIGNED DETAIL
B16-11709,Tuesday,NIGHT,MOTORIST ASSIST
B16-11708,Tuesday,NIGHT,SUSP ACT IP
B16-11707,Tuesday,NIGHT,THEFT NP
B16-11706,Tuesday,NIGHT,DOMESTIC NP
B16-11705,Tuesday,NIGHT,NOISE
B16-11704,Tuesday,NIGHT,NOISE
B16-11703,Tuesday,NIGHT,SUSP ACT IP
B16-11702,Tuesday,NIGHT,ACCIDENT PD IP
B16-11701,Tuesday,NIGHT,ALARM
B16-11700,Tuesday,NIGHT,NOISE
B16-11699,Monday,NIGHT,NOISE
B16-11698,Monday,NIGHT,NOISE
B16-11697,Monday,NIGHT,NOISE
B16-11696,Monday,NIGHT,SERVICE IP
B16-11694,Monday,NIGHT,NOISE
B16-11695,Monday,NIGHT,NOISE
B16-11692,Monday,NIGHT,VANDALISM NP
B16-11693,Monday,NIGHT,NOISE
B16-11689,Monday,NIGHT,ACCIDENT LSA IP
B16-11687,Monday,NIGHT,DOMESTIC IP
B16-11688,Monday,NIGHT,NOISE
B16-11690,Monday,NIGHT,ACCIDENT PI
B16-11691,Monday,NIGHT,NOISE
B16-11685,Monday,NIGHT,ACCIDENT LSA IP
B16-11684,Monday,NIGHT,WEAPONS IP
B16-11686,Monday,NIGHT,EXTRA PATROL
B16-11683,Monday,NIGHT,THEFT NP
B16-11682,Monday,NIGHT,ALARM
B16-11681,Monday,NIGHT,ACCIDENT PD IP
B16-11679,Monday,NIGHT,FOLLOW UP
B16-11680,Monday,NIGHT,ATL
B16-11677,Monday,NIGHT,MISSING PERSON
B16-11678,Monday,NIGHT,ACCIDENT PD NP
B16-11676,Monday,NIGHT,ACCIDENT LSA NP
B16-11675,Monday,NIGHT,WELFARE CHK IP
B16-11671,Monday,NIGHT,SERVICE IP
B16-11674,Monday,NIGHT,FRAUD
B16-11672,Monday,DAY,VANDALISM NP
B16-11673,Monday,DAY,FRAUD
B16-11667,Monday,DAY,FOLLOW UP
B16-11668,Monday,DAY,ACCIDENT PI
B16-11670,Monday,DAY,PARKING
B16-11669,Monday,DAY,WELFARE CHK IP
B16-11666,Monday,DAY,ATL
B16-11665,Monday,DAY,ALARM
B16-11663,Monday,DAY,FOLLOW UP
B16-11664,Monday,DAY,DISTURBANCE IP
B16-11662,Monday,DAY,CIVIL IP
B16-11661,Monday,DAY,ASSAULT IP
B16-11660,Monday,DAY,HARASSMENT IP
B16-11658,Monday,DAY,TRAFFIC HAZARD
B16-11659,Monday,DAY,PARKING
B16-11657,Monday,DAY,FOLLOW UP
B16-11655,Monday,DAY,FOLLOW UP
B16-11656,Monday,DAY,ACCIDENT PD IP
B16-11654,Monday,DAY,RUNAWAY
B16-11652,Monday,DAY,WELFARE CHK IP
B16-11651,Monday,DAY,ANIMAL
B16-11650,Monday,DAY,NOISE
B16-11649,Monday,DAY,EXTRA PATROL
B16-11647,Monday,DAY,SUSP ACT IP
B16-11645,Monday,DAY,SERIAL MOTOR CH
B16-11648,Monday,DAY,SERVICE IP
B16-11643,Monday,DAY,WARRANT SERVICE
B16-11644,Monday,DAY,ASSAULT IP
B16-11642,Monday,DAY,FOLLOW UP
B16-11641,Monday,DAY,WARRANT SERVICE
B16-11640,Monday,DAY,MOTORIST ASSIST
B16-11646,Monday,DAY,THEFT NP
B16-11639,Monday,DAY,DRUGS NP
B16-11638,Monday,DAY,DOMESTIC IP
B16-11653,Monday,DAY,SERIAL MOTOR CH
B16-11637,Monday,DAY,MOTORIST ASSIST
B16-11635,Monday,DAY,WELFARE CHK IP
B16-11636,Monday,DAY,ANIMAL
B16-11634,Monday,DAY,SERVICE IP
B16-11633,Monday,DAY,WELFARE CHK IP
B16-11632,Monday,DAY,WELFARE CHK IP
B16-11631,Monday,DAY,ASSIGNED DETAIL
B16-11630,Monday,DAY,ACCIDENT PD IP
B16-11629,Monday,DAY,ACCIDENT LSA NP
B16-11627,Monday,DAY,FOLLOW UP
B16-11626,Monday,DAY,FRAUD
B16-11625,Monday,DAY,FRAUD
B16-11628,Monday,DAY,DOMESTIC NP
B16-11624,Monday,DAY,THEFT NP
B16-11622,Monday,DAY,FOLLOW UP
B16-11623,Monday,DAY,THEFT NP
B16-11621,Monday,DAY,ACCIDENT PD IP
B16-11620,Monday,DAY,EXTRA PATROL
B16-11618,Monday,DAY,FRAUD
B16-11619,Monday,MORNING,WELFARE CHK IP
B16-11617,Monday,MORNING,DISTURBANCE IP
B16-11615,Monday,MORNING,VANDALISM NP
B16-11616,Monday,MORNING,FRAUD
B16-11614,Monday,MORNING,FORGERY
B16-11613,Monday,MORNING,EXTRA PATROL
B16-11612,Monday,MORNING,TRAFFIC STOP
B16-11611,Monday,MORNING,DEATH
B16-11608,Monday,MORNING,FRAUD
B16-11607,Monday,MORNING,ANIMAL
B16-11609,Monday,MORNING,TRESPASS NP
B16-11610,Monday,MORNING,VANDALISM NP
B16-11605,Monday,MORNING,SEX ASSAULT NP
B16-11604,Monday,MORNING,TRAFFIC STOP
B16-11606,Monday,MORNING,THEFT NP
B16-11603,Monday,MORNING,TRESPASS IP
B16-11602,Monday,MORNING,SERVICE IP
B16-11601,Monday,MORNING,THEFT NP
B16-11599,Monday,MORNING,TRAFFIC STOP
B16-11600,Monday,MORNING,DRUGS IP
B16-11598,Monday,MORNING,DISTURBANCE IP
B16-11597,Monday,MORNING,ACCIDENT PD IP
B16-11596,Monday,MORNING,DRUGS IP
B16-11595,Monday,MORNING,PROPERTY
B16-11594,Monday,MORNING,FIGHT IP
B16-11593,Monday,MORNING,TRAFFIC STOP
B16-11592,Monday,MORNING,TRAFFIC STOP
B16-11591,Monday,MORNING,ASSIGNED DETAIL
B16-11590,Monday,NIGHT,ASSIGNED DETAIL
B16-11589,Monday,NIGHT,ROBBERY IP
B16-11588,Monday,NIGHT,SUSP ACT IP
B16-11587,Monday,NIGHT,ALARM
B16-11586,Monday,NIGHT,TRAFFIC STOP
B16-11585,Monday,NIGHT,TRAFFIC STOP
B16-11584,Monday,NIGHT,TRAFFIC STOP
B16-11583,Monday,NIGHT,WELFARE CHK IP
B16-11582,Monday,NIGHT,ATL
B16-11581,Monday,NIGHT,TRAFFIC STOP
B16-11580,Monday,NIGHT,SUSP ACT IP
B16-11579,Monday,NIGHT,TRAFFIC STOP
B16-11577,Sunday,NIGHT,ALARM
B16-11578,Sunday,NIGHT,NOISE
B16-11576,Sunday,NIGHT,TRAFFIC STOP
B16-11574,Sunday,NIGHT,TRAFFIC STOP
B16-11575,Sunday,NIGHT,ALARM
B16-11573,Sunday,NIGHT,TRAFFIC STOP
B16-11572,Sunday,NIGHT,DUI
B16-11571,Sunday,NIGHT,WELFARE CHK IP
B16-11569,Sunday,NIGHT,TRAFFIC STOP
B16-11568,Sunday,NIGHT,TRAFFIC STOP
B16-11570,Sunday,NIGHT,ALARM
B16-11566,Sunday,NIGHT,TRAFFIC STOP
B16-11567,Sunday,NIGHT,SERVICE IP
B16-11565,Sunday,NIGHT,TRAFFIC STOP
B16-11564,Sunday,NIGHT,TRAFFIC STOP
B16-11563,Sunday,NIGHT,TRAFFIC STOP
B16-11562,Sunday,NIGHT,TRAFFIC STOP
B16-11560,Sunday,NIGHT,TRAFFIC STOP
B16-11559,Sunday,NIGHT,TRAFFIC STOP
B16-11561,Sunday,NIGHT,SUSP ACT IP
B16-11558,Sunday,NIGHT,DOMESTIC IP
B16-11556,Sunday,NIGHT,DOMESTIC IP
B16-11555,Sunday,NIGHT,DRUNK
B16-11557,Sunday,NIGHT,SERVICE IP
B16-11553,Sunday,NIGHT,TRAFFIC STOP
B16-11554,Sunday,NIGHT,WELFARE CHK IP
B16-11552,Sunday,NIGHT,RUNAWAY
B16-11551,Sunday,NIGHT,FIGHT IP
B16-11550,Sunday,NIGHT,FOLLOW UP
B16-11548,Sunday,NIGHT,DOMESTIC IP
B16-11547,Sunday,NIGHT,WEATHER ALERT
B16-11543,Sunday,NIGHT,ALARM
B16-11542,Sunday,NIGHT,ALARM
B16-11540,Sunday,NIGHT,ALARM
B16-11544,Sunday,NIGHT,ALARM
B16-11541,Sunday,NIGHT,ALARM
B16-11545,Sunday,NIGHT,ALARM
B16-11549,Sunday,NIGHT,INFORMATION
B16-11539,Sunday,NIGHT,DISTURBANCE IP
B16-11538,Sunday,DAY,TRESPASS IP
B16-11535,Sunday,DAY,WELFARE CHK IP
B16-11537,Sunday,DAY,VANDALISM NP
B16-11546,Sunday,DAY,THEFT NP
B16-11534,Sunday,DAY,SUSP ACT IP
B16-11536,Sunday,DAY,PARKING
B16-11533,Sunday,DAY,WEAPONS IP
B16-11532,Sunday,DAY,ACCIDENT LSA IP
B16-11531,Sunday,DAY,MOTORIST ASSIST
