Case Number,Date Reported,Time Reported,Month Reported,Day of Week Reported,Nature of Call for Service,District,Agency,Report/No Report
B16-12080,3/31/16,11:58 PM,March,Thursday,NOISE,LB519,BPD,No report
B16-12079,3/31/16,11:55 PM,March,Thursday,TRAFFIC STOP,LIU14,BPD,No report
B16-12078,3/31/16,11:39 PM,March,Thursday,VEH THEFT NP,LB221,BPD,Report
B16-12077,3/31/16,11:39 PM,March,Thursday,TRAFFIC STOP,LMS29,BPD,Report
B16-12076,3/31/16,11:35 PM,March,Thursday,WEAPONS IP,LB513,BPD,No report
B16-12075,3/31/16,11:35 PM,March,Thursday,TRAFFIC STOP,LB102,BPD,No report
B16-12074,3/31/16,11:34 PM,March,Thursday,TRAFFIC STOP,LB301,BPD,No report
B16-12073,3/31/16,11:31 PM,March,Thursday,TRAFFIC STOP,LB427,BPD,No report
B16-12072,3/31/16,11:28 PM,March,Thursday,TRAFFIC STOP,LIU13,BPD,No report
B16-12070,3/31/16,11:22 PM,March,Thursday,TRAFFIC STOP,LB411,BPD,No report
B16-12069,3/31/16,11:20 PM,March,Thursday,TRAFFIC STOP,LB408,BPD,No report
B16-12068,3/31/16,11:20 PM,March,Thursday,TRAFFIC STOP,LB517,BPD,No report
B16-12067,3/31/16,11:07 PM,March,Thursday,SUSP ACT IP,LB512,BPD,No report
B16-12066,3/31/16,11:06 PM,March,Thursday,TRAFFIC STOP,LB301,BPD,No report
B16-12071,3/31/16,11:02 PM,March,Thursday,NOISE,LB213,BPD,No report
B16-12064,3/31/16,11:01 PM,March,Thursday,TRAFFIC STOP,LB305,BPD,No report
B16-12065,3/31/16,10:57 PM,March,Thursday,NOISE,LB102,BPD,No report
B16-12062,3/31/16,10:49 PM,March,Thursday,TRAFFIC STOP,LB304,BPD,No report
B16-12061,3/31/16,10:44 PM,March,Thursday,TRAFFIC STOP,LB304,BPD,No report
B16-12059,3/31/16,10:36 PM,March,Thursday,TRAFFIC STOP,LB101,BPD,No report
B16-12058,3/31/16,10:34 PM,March,Thursday,HARASSMENT NP,LB213,BPD,No report
B16-12060,3/31/16,10:31 PM,March,Thursday,NOISE,LB213,BPD,No report
B16-12056,3/31/16,10:29 PM,March,Thursday,TRAFFIC STOP,LB101,BPD,No report
B16-12057,3/31/16,10:27 PM,March,Thursday,WELFARE CHK IP,LB409,BPD,No report
B16-12054,3/31/16,10:26 PM,March,Thursday,TRAFFIC STOP,LB312,BPD,No report
B16-12055,3/31/16,10:26 PM,March,Thursday,ALARM,LB403,BPD,No report
B16-12053,3/31/16,10:16 PM,March,Thursday,ASSIGNED DETAIL,LB410,BPD,No report
B16-12063,3/31/16,10:15 PM,March,Thursday,VANDALISM NP,LB423,BPD,Report
B16-12052,3/31/16,10:07 PM,March,Thursday,WELFARE CHK IP,LB316,BPD,No report
B16-12051,3/31/16,10:04 PM,March,Thursday,FOLLOW UP,LB409,BPD,No report
B16-12050,3/31/16,9:43 PM,March,Thursday,CIVIL NP,LB518,BPD,No report
B16-12049,3/31/16,9:41 PM,March,Thursday,ANIMAL,LB429,BPD,No report
B16-12048,3/31/16,9:16 PM,March,Thursday,THEFT NP,LB328,BPD,Report
B16-12046,3/31/16,8:52 PM,March,Thursday,WARRANT SERVICE,LB212,BPD,Report
B16-12047,3/31/16,8:52 PM,March,Thursday,DOMESTIC NP,LB213,BPD,Report
B16-12044,3/31/16,8:46 PM,March,Thursday,FODOR,LB424,BPD,No report
B16-12045,3/31/16,8:44 PM,March,Thursday,FIREWORKS,LB302,BPD,No report
B16-12043,3/31/16,8:30 PM,March,Thursday,HARASSMENT NP,LB104,BPD,Report
B16-12042,3/31/16,8:20 PM,March,Thursday,ALARM,LB406,BPD,No report
B16-12041,3/31/16,8:16 PM,March,Thursday,SUSP ACT IP,LB315,BPD,No report
B16-12040,3/31/16,8:00 PM,March,Thursday,ROV IP,LB326,BPD,No report
B16-12039,3/31/16,7:56 PM,March,Thursday,TRAFFIC STOP,LMS29,BPD,Report
B16-12038,3/31/16,7:31 PM,March,Thursday,PANHANDLING,LB101,BPD,No report
B16-12036,3/31/16,7:14 PM,March,Thursday,HARASSMENT IP,LB102,BPD,No report
B16-12037,3/31/16,7:07 PM,March,Thursday,DRUGS IP,LB402,BPD,No report
B16-12034,3/31/16,6:56 PM,March,Thursday,DISTURBANCE IP,LB421,BPD,No report
B16-12032,3/31/16,6:43 PM,March,Thursday,DISTURBANCE IP,LB104,BPD,No report
B16-12035,3/31/16,6:39 PM,March,Thursday,WEATHER ALERT,LB104,BPD,No report
B16-12033,3/31/16,6:22 PM,March,Thursday,ACCIDENT LSA NP,LB415,BPD,Report
B16-12026,3/31/16,5:54 PM,March,Thursday,FOLLOW UP,LB312,BPD,No report
B16-12027,3/31/16,5:48 PM,March,Thursday,ACCIDENT PD IP,LB215,BPD,No report
B16-12030,3/31/16,5:48 PM,March,Thursday,SERVICE IP,LB104,BPD,No report
B16-12025,3/31/16,5:39 PM,March,Thursday,WEAPONS IP,LB326,BPD,No report
B16-12024,3/31/16,5:31 PM,March,Thursday,ACCIDENT PI,LB328,BPD,Report
B16-12023,3/31/16,5:29 PM,March,Thursday,WELFARE CHK IP,LB314,BPD,No report
B16-12031,3/31/16,5:27 PM,March,Thursday,TRAFFIC HAZARD,LB518,BPD,No report
B16-12029,3/31/16,5:09 PM,March,Thursday,THEFT NP,LB102,BPD,Report
B16-12022,3/31/16,5:09 PM,March,Thursday,CIVIL NP,LB212,BPD,No report
B16-12021,3/31/16,5:06 PM,March,Thursday,VANDALISM NP,LB412,BPD,No report
B16-12028,3/31/16,5:04 PM,March,Thursday,HARASSMENT NP,LB219,BPD,Report
B16-12020,3/31/16,4:57 PM,March,Thursday,WARRANT SERVICE,LB306,BPD,No report
B16-12019,3/31/16,4:30 PM,March,Thursday,TRAFFIC STOP,LB409,BPD,No report
B16-12018,3/31/16,4:05 PM,March,Thursday,ACCIDENT PD IP,LB101,BPD,No report
B16-12017,3/31/16,3:57 PM,March,Thursday,ROV NP,LB424,BPD,Report
B16-12016,3/31/16,3:53 PM,March,Thursday,FOLLOW UP,LB336,BPD,No report
B16-12015,3/31/16,3:28 PM,March,Thursday,DISTURBANCE IP,LB517,BPD,No report
B16-12014,3/31/16,3:25 PM,March,Thursday,ASSIGNED DETAIL,LB104,BPD,No report
B16-12011,3/31/16,3:08 PM,March,Thursday,ACCIDENT PI,LB104,BPD,Report
B16-12013,3/31/16,3:08 PM,March,Thursday,PROPERTY,LB517,BPD,No report
B16-12012,3/31/16,2:59 PM,March,Thursday,TRAFFIC HAZARD,LB409,BPD,No report
B16-12010,3/31/16,2:54 PM,March,Thursday,PARKING,LB104,BPD,No report
B16-12009,3/31/16,2:40 PM,March,Thursday,THEFT NP,LB423,BPD,Report
B16-12007,3/31/16,2:33 PM,March,Thursday,ROV NP,LB104,BPD,No report
B16-12008,3/31/16,2:31 PM,March,Thursday,SUSP ACT NP,LB334,BPD,Report
B16-12005,3/31/16,2:20 PM,March,Thursday,FOLLOW UP,LB410,BPD,No report
B16-12006,3/31/16,2:17 PM,March,Thursday,TOW IN,LB102,BPD,Report
B16-12003,3/31/16,2:01 PM,March,Thursday,ACCIDENT PD IP,LB305,BPD,No report
B16-12004,3/31/16,2:00 PM,March,Thursday,ACCIDENT PD IP,LB103,BPD,No report
B16-12000,3/31/16,1:54 PM,March,Thursday,FOLLOW UP,LB104,BPD,No report
B16-12001,3/31/16,1:51 PM,March,Thursday,ACCIDENT LSA IP,LB409,BPD,Report
B16-11998,3/31/16,1:15 PM,March,Thursday,WELFARE CHK IP,LB102,BPD,No report
B16-11997,3/31/16,1:12 PM,March,Thursday,ACCIDENT LSA NP,LB410,BPD,Report
B16-11996,3/31/16,12:58 PM,March,Thursday,CIVIL NP,LB102,BPD,No report
B16-11995,3/31/16,12:53 PM,March,Thursday,PROPERTY,LB103,BPD,Report
B16-12002,3/31/16,12:46 PM,March,Thursday,BURGLARY NP,LB517,BPD,Report
B16-11993,3/31/16,12:34 PM,March,Thursday,DISTURBANCE IP,LB209,BPD,Report
B16-11992,3/31/16,12:24 PM,March,Thursday,ACCIDENT PD IP,LB524,BPD,No report
B16-11999,3/31/16,12:19 PM,March,Thursday,WARRANT SERVICE,LB101,BPD,Report
B16-11991,3/31/16,12:15 PM,March,Thursday,SERIAL MOTOR CH,LB104,BPD,No report
B16-11990,3/31/16,12:13 PM,March,Thursday,FOLLOW UP,LB326,BPD,No report
B16-11989,3/31/16,11:47 AM,March,Thursday,FOLLOW UP,LB420,BPD,No report
B16-11987,3/31/16,11:22 AM,March,Thursday,ACCIDENT PD IP,LB406,BPD,Report
B16-11986,3/31/16,11:19 AM,March,Thursday,THEFT IP,LB326,BPD,Report
B16-11994,3/31/16,11:12 AM,March,Thursday,PANHANDLING,LB102,BPD,No report
B16-11988,3/31/16,11:02 AM,March,Thursday,HARASSMENT NP,LB412,BPD,Report
B16-11983,3/31/16,10:53 AM,March,Thursday,DISTURBANCE IP,LB103,BPD,No report
B16-11984,3/31/16,10:51 AM,March,Thursday,WELFARE CHK IP,LB213,BPD,No report
B16-11985,3/31/16,10:49 AM,March,Thursday,VEH THEFT NP,LB412,BPD,Report
B16-11982,3/31/16,10:48 AM,March,Thursday,SERIAL MOTOR CH,LB518,BPD,No report
B16-11981,3/31/16,10:36 AM,March,Thursday,SERVICE IP,LB104,BPD,No report
B16-11980,3/31/16,10:29 AM,March,Thursday,TRAFFIC STOP,LB304,BPD,No report
B16-11979,3/31/16,10:21 AM,March,Thursday,THEFT NP,LB401,BPD,Report
B16-11978,3/31/16,10:03 AM,March,Thursday,ACCIDENT PD IP,LB104,BPD,Report
B16-11977,3/31/16,9:30 AM,March,Thursday,THEFT NP,LB512,BPD,Report
B16-11976,3/31/16,9:01 AM,March,Thursday,TRESPASS NP,LB433,BPD,No report
B16-11975,3/31/16,8:59 AM,March,Thursday,THEFT NP,LB312,BPD,Report
B16-11973,3/31/16,8:57 AM,March,Thursday,TRAFFIC STOP,LB214,BPD,No report
B16-11974,3/31/16,8:56 AM,March,Thursday,ALARM,LB311,BPD,No report
B16-11972,3/31/16,8:45 AM,March,Thursday,FRAUD,LB323,BPD,Report
B16-11971,3/31/16,8:40 AM,March,Thursday,SUSP ACT NP,LB334,BPD,No report
B16-11970,3/31/16,8:36 AM,March,Thursday,SERVICE IP,LB328,BPD,No report
B16-11969,3/31/16,8:11 AM,March,Thursday,VANDALISM NP,LB328,BPD,Report
B16-11968,3/31/16,8:05 AM,March,Thursday,ACCIDENT PD IP,LB102,BPD,Report
B16-11967,3/31/16,7:24 AM,March,Thursday,TRAFFIC STOP,LB406,BPD,Report
B16-11966,3/31/16,6:27 AM,March,Thursday,DISTURBANCE IP,LB104,BPD,No report
B16-11965,3/31/16,6:14 AM,March,Thursday,ALARM,LB221,BPD,No report
B16-11964,3/31/16,6:06 AM,March,Thursday,ASSIGNED DETAIL,LB410,BPD,No report
B16-11963,3/31/16,5:51 AM,March,Thursday,ASSIGNED DETAIL,LB503,BPD,No report
B16-11962,3/31/16,5:42 AM,March,Thursday,ALARM,LB104,BPD,No report
B16-11961,3/31/16,3:56 AM,March,Thursday,WELFARE CHK IP,LB219,BPD,No report
B16-11960,3/31/16,3:28 AM,March,Thursday,ATL,LB301,BPD,No report
B16-11958,3/31/16,2:50 AM,March,Thursday,DOMESTIC IP,LB326,BPD,No report
B16-11959,3/31/16,2:47 AM,March,Thursday,NOISE,LB302,BPD,No report
B16-11957,3/31/16,2:40 AM,March,Thursday,WELFARE CHK IP,LB519,BPD,No report
B16-11956,3/31/16,2:29 AM,March,Thursday,ASSAULT IP,LB101,BPD,No report
B16-11955,3/31/16,2:10 AM,March,Thursday,ATL,LIU09,BPD,No report
B16-11954,3/31/16,1:54 AM,March,Thursday,SERVICE IP,LB101,BPD,Report
B16-11953,3/31/16,1:42 AM,March,Thursday,SUSP ACT IP,LB326,BPD,Report
B16-11952,3/31/16,1:16 AM,March,Thursday,WELFARE CHK IP,LB416,BPD,No report
B16-11951,3/31/16,1:04 AM,March,Thursday,SERVICE IP,LB214,BPD,No report
B16-11950,3/31/16,12:55 AM,March,Thursday,FOLLOW UP,LB409,BPD,No report
B16-11949,3/31/16,12:38 AM,March,Thursday,MENTAL HEALTH,LB517,BPD,No report
B16-11948,3/31/16,12:35 AM,March,Thursday,SUSP ACT IP,LB104,BPD,No report
B16-11947,3/31/16,12:22 AM,March,Thursday,WELFARE CHK IP,LB213,BPD,No report
B16-11946,3/31/16,12:14 AM,March,Thursday,WELFARE CHK IP,LB101,BPD,No report
B16-11945,3/31/16,12:04 AM,March,Thursday,SUSP ACT IP,LB517,BPD,No report
B16-11944,3/30/16,11:54 PM,March,Wednesday,SERVICE IP,LB405,BPD,No report
B16-11943,3/30/16,11:51 PM,March,Wednesday,ACCIDENT PD IP,LB103,BPD,Report
B16-11942,3/30/16,11:48 PM,March,Wednesday,TRAFFIC STOP,LIU08,BPD,No report
B16-11941,3/30/16,11:44 PM,March,Wednesday,THEFT NP,LB409,BPD,Report
B16-11939,3/30/16,11:27 PM,March,Wednesday,NOISE,LB521,BPD,No report
B16-11938,3/30/16,11:21 PM,March,Wednesday,TRAFFIC STOP,LB103,BPD,No report
B16-11936,3/30/16,11:16 PM,March,Wednesday,TRAFFIC STOP,LB314,BPD,No report
B16-11937,3/30/16,11:15 PM,March,Wednesday,DOMESTIC IP,LB412,BPD,Report
B16-11940,3/30/16,11:14 PM,March,Wednesday,DOMESTIC IP,LMN07,BPD,No report
B16-11935,3/30/16,11:06 PM,March,Wednesday,TRAFFIC STOP,LB422,BPD,No report
B16-11934,3/30/16,11:03 PM,March,Wednesday,TRAFFIC STOP,LB325,BPD,No report
B16-11933,3/30/16,10:58 PM,March,Wednesday,SUSP ACT IP,LB102,BPD,No report
B16-11932,3/30/16,10:50 PM,March,Wednesday,TRAFFIC STOP,LB301,BPD,No report
B16-11931,3/30/16,10:39 PM,March,Wednesday,TRAFFIC STOP,LB522,BPD,Report
B16-11928,3/30/16,10:02 PM,March,Wednesday,TRAFFIC STOP,LB314,BPD,No report
B16-11929,3/30/16,10:01 PM,March,Wednesday,ACCIDENT UNK,LB326,BPD,Report
B16-11927,3/30/16,9:43 PM,March,Wednesday,EXTRA PATROL,LB302,BPD,
B16-11930,3/30/16,9:41 PM,March,Wednesday,NOISE,LB314,BPD,No report
B16-11926,3/30/16,9:26 PM,March,Wednesday,THEFT NP,LB305,BPD,No report
B16-11925,3/30/16,9:18 PM,March,Wednesday,TRAFFIC STOP,LB421,BPD,No report
B16-11922,3/30/16,8:57 PM,March,Wednesday,EXTRA PATROL,LB333,BPD,
B16-11921,3/30/16,8:50 PM,March,Wednesday,WELFARE CHK IP,LB336,BPD,Report
B16-11919,3/30/16,8:32 PM,March,Wednesday,SEX OFFENSE NP,LB104,BPD,Report
B16-11918,3/30/16,8:26 PM,March,Wednesday,SUSP ACT IP,LB336,BPD,No report
B16-11924,3/30/16,8:19 PM,March,Wednesday,SUSP ACT NP,LB328,BPD,Report
B16-11923,3/30/16,8:17 PM,March,Wednesday,OTHER,LB409,BPD,No report
B16-11914,3/30/16,8:10 PM,March,Wednesday,ALARM,LB103,BPD,No report
B16-11913,3/30/16,8:03 PM,March,Wednesday,DOMESTIC IP,LB404,BPD,No report
B16-11912,3/30/16,7:52 PM,March,Wednesday,SUSP ACT IP,LB520,BPD,No report
B16-11911,3/30/16,7:51 PM,March,Wednesday,WELFARE CHK IP,LB409,BPD,No report
B16-11915,3/30/16,7:49 PM,March,Wednesday,WARRANT SERVICE,LB513,BPD,Report
B16-11917,3/30/16,7:48 PM,March,Wednesday,HARASSMENT NP,LB404,BPD,Report
B16-11909,3/30/16,7:20 PM,March,Wednesday,ACCIDENT PD IP,LB421,BPD,Report
B16-11908,3/30/16,7:07 PM,March,Wednesday,ALARM,LB309,BPD,No report
B16-11907,3/30/16,7:04 PM,March,Wednesday,DOMESTIC IP,LB412,BPD,Report
B16-11906,3/30/16,7:01 PM,March,Wednesday,TRAFFIC STOP,,BPD,No report
B16-11905,3/30/16,6:50 PM,March,Wednesday,TRAFFIC STOP,LB421,BPD,No report
B16-11920,3/30/16,6:49 PM,March,Wednesday,THEFT NP,LB311,BPD,No report
B16-11910,3/30/16,6:42 PM,March,Wednesday,THEFT NP,LB336,BPD,Report
B16-11904,3/30/16,6:26 PM,March,Wednesday,TRAFFIC HAZARD,LB523,BPD,No report
B16-11916,3/30/16,6:21 PM,March,Wednesday,NOISE,LB212,BPD,No report
B16-11903,3/30/16,6:18 PM,March,Wednesday,ATL,LB301,BPD,No report
B16-11902,3/30/16,6:07 PM,March,Wednesday,WELFARE CHK IP,LB102,BPD,Report
B16-11900,3/30/16,6:03 PM,March,Wednesday,SUSP ACT IP,LB408,BPD,No report
B16-11901,3/30/16,6:03 PM,March,Wednesday,ANIMAL,LB335,BPD,Report
B16-11899,3/30/16,5:40 PM,March,Wednesday,ACCIDENT PD IP,LB319,BPD,Report
B16-11898,3/30/16,5:36 PM,March,Wednesday,DISTURBANCE IP,LB102,BPD,No report
B16-11897,3/30/16,5:24 PM,March,Wednesday,THEFT NP,LB327,BPD,Report
B16-11896,3/30/16,5:24 PM,March,Wednesday,THEFT NP,LB327,BPD,Report
B16-11895,3/30/16,5:09 PM,March,Wednesday,NOISE,LB301,BPD,No report
B16-11892,3/30/16,4:51 PM,March,Wednesday,MOTORIST ASSIST,LB103,BPD,
B16-11893,3/30/16,4:51 PM,March,Wednesday,ATL,LB403,BPD,No report
B16-11894,3/30/16,4:49 PM,March,Wednesday,ATL,LB420,BPD,No report
B16-11890,3/30/16,4:39 PM,March,Wednesday,MISSING PERSON,LB315,BPD,No report
B16-11891,3/30/16,4:37 PM,March,Wednesday,THEFT NP,LB327,BPD,Report
B16-11889,3/30/16,4:35 PM,March,Wednesday,DOMESTIC IP,LB524,BPD,No report
B16-11888,3/30/16,4:28 PM,March,Wednesday,DRUNK,LB104,BPD,No report
B16-11887,3/30/16,4:15 PM,March,Wednesday,WARRANT SERVICE,LB503,BPD,No report
B16-11886,3/30/16,4:12 PM,March,Wednesday,THEFT NP,LB424,BPD,Report
B16-11885,3/30/16,4:05 PM,March,Wednesday,TRESPASS IP,LB101,BPD,No report
B16-11884,3/30/16,3:56 PM,March,Wednesday,DISTURBANCE IP,LB433,BPD,No report
B16-11883,3/30/16,3:45 PM,March,Wednesday,FOLLOW UP,LB104,BPD,No report
B16-11882,3/30/16,3:39 PM,March,Wednesday,DOMESTIC IP,LB101,BPD,No report
B16-11881,3/30/16,3:18 PM,March,Wednesday,ALARM,LB307,BPD,No report
B16-11879,3/30/16,3:09 PM,March,Wednesday,ACCIDENT PD IP,LB102,BPD,No report
B16-11878,3/30/16,3:02 PM,March,Wednesday,VANDALISM NP,LB302,BPD,Report
B16-11880,3/30/16,2:59 PM,March,Wednesday,WARRANT SERVICE,LB518,BPD,Report
B16-11876,3/30/16,2:51 PM,March,Wednesday,TRAFFIC STOP,LMN09,BPD,No report
B16-11877,3/30/16,2:50 PM,March,Wednesday,DISTURBANCE IP,LB404,BPD,Report
B16-11875,3/30/16,2:39 PM,March,Wednesday,DEATH,LB213,BPD,Report
B16-11874,3/30/16,2:33 PM,March,Wednesday,SERIAL MOTOR CH,LB518,BPD,No report
B16-11873,3/30/16,2:21 PM,March,Wednesday,CIVIL IP,LB104,BPD,No report
B16-11870,3/30/16,2:06 PM,March,Wednesday,SUSP ACT IP,LB104,BPD,No report
B16-11872,3/30/16,2:06 PM,March,Wednesday,FRAUD,LB318,BPD,No report
B16-11869,3/30/16,2:04 PM,March,Wednesday,ASSIGNED DETAIL,LB410,BPD,No report
B16-11867,3/30/16,1:49 PM,March,Wednesday,ATL,LB422,BPD,No report
B16-11865,3/30/16,1:41 PM,March,Wednesday,TRESPASS IP,LB513,BPD,No report
B16-11866,3/30/16,1:39 PM,March,Wednesday,ACCIDENT LSA NP,LMS29,BPD,Report
B16-11864,3/30/16,1:37 PM,March,Wednesday,THEFT NP,LB409,BPD,No report
B16-11871,3/30/16,1:24 PM,March,Wednesday,SUSP ACT NP,LB328,BPD,No report
B16-11863,3/30/16,1:20 PM,March,Wednesday,DISTURBANCE IP,LB409,BPD,Report
B16-11868,3/30/16,1:15 PM,March,Wednesday,PROPERTY,LB303,BPD,No report
B16-11861,3/30/16,1:01 PM,March,Wednesday,DISTURBANCE IP,LB409,BPD,Report
B16-11862,3/30/16,12:57 PM,March,Wednesday,VANDALISM NP,LB313,BPD,Report
B16-11860,3/30/16,12:33 PM,March,Wednesday,DOMESTIC IP,LB423,BPD,No report
B16-11858,3/30/16,12:24 PM,March,Wednesday,ALARM,LB402,BPD,No report
B16-11857,3/30/16,11:52 AM,March,Wednesday,ACCIDENT LSA NP,LB404,BPD,Report
B16-11856,3/30/16,11:50 AM,March,Wednesday,ACCIDENT LSA IP,LB510,BPD,Report
B16-11855,3/30/16,11:44 AM,March,Wednesday,MOTORIST ASSIST,LB516,BPD,No report
B16-11853,3/30/16,11:21 AM,March,Wednesday,TRAFFIC HAZARD,LB102,BPD,No report
B16-11854,3/30/16,11:20 AM,March,Wednesday,FOLLOW UP,LB104,BPD,No report
B16-11852,3/30/16,11:08 AM,March,Wednesday,ACCIDENT PI,LB305,BPD,Report
B16-11850,3/30/16,11:04 AM,March,Wednesday,VANDALISM NP,LB325,BPD,Report
B16-11851,3/30/16,11:03 AM,March,Wednesday,DOMESTIC IP,LB212,BPD,No report
B16-11859,3/30/16,11:00 AM,March,Wednesday,ABANDONED VEH,LB409,BPD,No report
B16-11849,3/30/16,10:55 AM,March,Wednesday,DOMESTIC IP,LB104,BPD,No report
B16-11848,3/30/16,10:48 AM,March,Wednesday,THEFT NP,LB301,BPD,Report
B16-11847,3/30/16,10:48 AM,March,Wednesday,ACCIDENT PI,LB218,BPD,Report
B16-11846,3/30/16,10:44 AM,March,Wednesday,ACCIDENT PD IP,LB316,BPD,Report
B16-11845,3/30/16,10:08 AM,March,Wednesday,SUSP ACT NP,LB103,BPD,No report
B16-11844,3/30/16,9:44 AM,March,Wednesday,WELFARE CHK IP,LB221,BPD,No report
B16-11843,3/30/16,9:27 AM,March,Wednesday,SUSP ACT IP,LB520,BPD,No report
B16-11842,3/30/16,9:19 AM,March,Wednesday,TRAFFIC STOP,LB309,BPD,No report
B16-11841,3/30/16,9:18 AM,March,Wednesday,MOTORIST ASSIST,LB516,BPD,No report
B16-11840,3/30/16,9:15 AM,March,Wednesday,TRAFFIC STOP,LB101,BPD,No report
B16-11839,3/30/16,9:07 AM,March,Wednesday,EXTRA PATROL,LB311,BPD,No report
B16-11838,3/30/16,8:54 AM,March,Wednesday,WELFARE CHK IP,LMS02,BPD,No report
B16-11837,3/30/16,8:36 AM,March,Wednesday,DISTURBANCE IP,LB336,BPD,No report
B16-11836,3/30/16,6:45 AM,March,Wednesday,ACCIDENT PD IP,LB427,BPD,Report
B16-11835,3/30/16,6:24 AM,March,Wednesday,VANDALISM NP,LB313,BPD,Report
B16-11833,3/30/16,5:30 AM,March,Wednesday,ASSIGNED DETAIL,LMN14,BPD,No report
B16-11834,3/30/16,5:25 AM,March,Wednesday,WELFARE CHK IP,LB415,BPD,No report
B16-11832,3/30/16,5:21 AM,March,Wednesday,TRESPASS IP,LB521,BPD,Report
B16-11831,3/30/16,5:02 AM,March,Wednesday,WELFARE CHK IP,LB104,BPD,No report
B16-11830,3/30/16,4:31 AM,March,Wednesday,DRUNK,LB102,BPD,No report
B16-11829,3/30/16,4:12 AM,March,Wednesday,SUSP ACT IP,LB310,BPD,No report
B16-11828,3/30/16,3:51 AM,March,Wednesday,SUSP ACT IP,LB104,BPD,No report
B16-11827,3/30/16,3:44 AM,March,Wednesday,SUSP ACT IP,LB212,BPD,No report
B16-11826,3/30/16,3:14 AM,March,Wednesday,TRAFFIC STOP,LMN20,BPD,No report
B16-11825,3/30/16,3:03 AM,March,Wednesday,NOISE,LB101,BPD,No report
B16-11824,3/30/16,2:58 AM,March,Wednesday,TRAFFIC STOP,LMN20,BPD,No report
B16-11823,3/30/16,2:29 AM,March,Wednesday,TRAFFIC STOP,LB509,BPD,No report
B16-11822,3/30/16,12:43 AM,March,Wednesday,DISTURBANCE IP,LB336,BPD,Report
B16-11820,3/30/16,12:09 AM,March,Wednesday,DISTURBANCE IP,LB104,BPD,No report
B16-11819,3/30/16,12:02 AM,March,Wednesday,FOLLOW UP,LB104,BPD,No report
B16-11821,3/29/16,11:42 PM,March,Tuesday,NOISE,LB102,BPD,No report
B16-11818,3/29/16,11:30 PM,March,Tuesday,SUSP ACT IP,LB425,BPD,No report
B16-11817,3/29/16,11:20 PM,March,Tuesday,NOISE,LB104,BPD,No report
B16-11815,3/29/16,11:19 PM,March,Tuesday,BURGLARY IP,LB319,BPD,Report
B16-11816,3/29/16,11:07 PM,March,Tuesday,SERVICE IP,LB317,BPD,No report
B16-11814,3/29/16,10:53 PM,March,Tuesday,ACCIDENT PD IP,LB511,BPD,Report
B16-11813,3/29/16,10:51 PM,March,Tuesday,ATL,LB314,BPD,No report
B16-11812,3/29/16,10:50 PM,March,Tuesday,TRAFFIC STOP,LB414,BPD,No report
B16-11811,3/29/16,10:27 PM,March,Tuesday,WELFARE CHK IP,LB326,BPD,Report
B16-11810,3/29/16,10:21 PM,March,Tuesday,THEFT NP,LB326,BPD,Report
B16-11807,3/29/16,9:53 PM,March,Tuesday,TRAFFIC STOP,LB406,BPD,No report
B16-11809,3/29/16,9:49 PM,March,Tuesday,VANDALISM NP,LB213,BPD,Report
B16-11808,3/29/16,9:49 PM,March,Tuesday,FOLLOW UP,LB326,BPD,No report
B16-11806,3/29/16,9:43 PM,March,Tuesday,PANHANDLING,LB403,BPD,No report
B16-11805,3/29/16,9:34 PM,March,Tuesday,HARASSMENT NP,LB503,BPD,No report
B16-11804,3/29/16,9:32 PM,March,Tuesday,ALARM,LB309,BPD,No report
B16-11803,3/29/16,9:16 PM,March,Tuesday,THEFT NP,LB415,BPD,Report
B16-11802,3/29/16,9:14 PM,March,Tuesday,ACCIDENT PD IP,LB315,BPD,No report
B16-11801,3/29/16,8:47 PM,March,Tuesday,STALKING IP,LB104,BPD,No report
B16-11799,3/29/16,8:04 PM,March,Tuesday,SUSP ACT IP,LB409,BPD,No report
B16-11798,3/29/16,7:44 PM,March,Tuesday,ROV NP,LB326,BPD,Report
B16-11797,3/29/16,7:28 PM,March,Tuesday,SERVICE IP,LB519,BPD,No report
B16-11796,3/29/16,7:26 PM,March,Tuesday,ALARM,LB104,BPD,No report
B16-11795,3/29/16,7:12 PM,March,Tuesday,ALARM,LB409,BPD,No report
B16-11794,3/29/16,6:53 PM,March,Tuesday,PROPERTY,LB520,BPD,No report
B16-11793,3/29/16,6:50 PM,March,Tuesday,DISTURBANCE IP,LB104,BPD,No report
B16-11792,3/29/16,6:49 PM,March,Tuesday,ALARM,LB409,BPD,No report
B16-11791,3/29/16,6:46 PM,March,Tuesday,WELFARE CHK IP,LB406,BPD,No report
B16-11790,3/29/16,6:37 PM,March,Tuesday,DUI,LB310,BPD,No report
B16-11789,3/29/16,6:33 PM,March,Tuesday,DRUNK,LB102,BPD,No report
B16-11788,3/29/16,6:19 PM,March,Tuesday,HARASSMENT IP,LB214,BPD,No report
B16-11787,3/29/16,6:07 PM,March,Tuesday,CIVIL NP,LB104,BPD,No report
B16-11800,3/29/16,5:40 PM,March,Tuesday,PROPERTY,LMN05,BPD,No report
B16-11786,3/29/16,5:32 PM,March,Tuesday,ACCIDENT LSA IP,LB524,BPD,No report
B16-11785,3/29/16,5:20 PM,March,Tuesday,DISTURBANCE IP,LB102,BPD,Report
B16-11784,3/29/16,5:05 PM,March,Tuesday,VANDALISM IP,LB334,BPD,Report
